"taz";"hhlds2015";"transittotal2015";"autototal2015";"hhlds2050";"transittotal2050";"autototal2050"
579.0;479.0;743;1232;2612.0;964;1323
154.0;574.0;23;880;615.0;24;1022
640.0;43.0;737;1266;1326.0;982;1432
521.0;292.0;476;1190;757.0;792;1308
329.0;912.0;623;874;957.0;786;1031
513.0;404.0;370;844;444.0;518;1037
173.0;511.0;654;1062;572.0;905;1116
346.0;1127.0;692;1145;1145.0;989;1253
352.0;737.0;726;1129;748.0;951;1230
754.0;0.0;815;1223;0.0;1124;1306
441.0;178.0;507;901;251.0;656;1008
727.0;823.0;662;1265;904.0;860;1410
577.0;189.0;295;827;238.0;633;987
399.0;394.0;362;1104;404.0;466;1141
400.0;776.0;8;812;776.0;7;725
627.0;587.0;781;1268;747.0;969;1368
641.0;563.0;664;1269;1491.0;967;1404
693.0;267.0;660;1288;457.0;957;1432
714.0;522.0;629;906;556.0;815;1024
619.0;736.0;726;1168;765.0;908;1253
750.0;31.0;862;1227;31.0;1118;1323
281.0;738.0;693;1100;764.0;893;1125
369.0;550.0;567;840;583.0;767;1016
387.0;0.0;9;878;702.0;195;1037
447.0;168.0;534;1097;169.0;488;1119
493.0;0.0;35;1083;0.0;95;1121
643.0;232.0;622;1279;1115.0;979;1410
181.0;531.0;578;1052;589.0;795;1059
297.0;458.0;425;851;512.0;764;1027
701.0;983.0;721;1121;1007.0;892;1205
765.0;802.0;804;1273;1232.0;915;1388
243.0;620.0;735;1165;637.0;934;1252
98.0;382.0;474;1094;385.0;700;1108
575.0;560.0;671;1090;577.0;897;1136
169.0;483.0;267;849;574.0;349;1027
300.0;1214.0;796;1165;1458.0;980;1238
648.0;58.0;733;1165;318.0;964;1253
877.0;716.0;261;879;720.0;464;1068
13.0;370.0;184;916;451.0;379;1074
406.0;300.0;465;1113;350.0;699;1155
431.0;357.0;577;900;487.0;752;1038
961.0;0.0;8;820;0.0;7;966
799.0;401.0;714;1165;401.0;936;1266
758.0;194.0;87;819;205.0;187;977
929.0;4.0;445;1232;2605.0;927;1343
534.0;100.0;647;1097;101.0;845;1146
930.0;0.0;831;1215;0.0;1122;1315
76.0;376.0;258;1055;465.0;608;1139
466.0;36.0;197;1156;36.0;404;1203
423.0;167.0;70;726;171.0;137;742
53.0;454.0;371;949;578.0;623;1086
175.0;284.0;101;833;284.0;247;999
964.0;0.0;496;824;1.0;516;1007
156.0;510.0;717;1082;545.0;933;1152
392.0;202.0;270;885;254.0;370;1076
737.0;0.0;45;775;1.0;30;924
362.0;760.0;661;1181;765.0;891;1223
416.0;155.0;163;777;132.0;159;765
344.0;955.0;698;1105;959.0;994;1201
751.0;0.0;886;1227;0.0;1123;1323
935.0;0.0;821;1237;0.0;1033;1311
495.0;37.0;130;1090;41.0;298;1128
937.0;0.0;850;1244;0.0;1079;1329
375.0;634.0;628;1027;638.0;862;1127
39.0;565.0;539;944;629.0;769;1086
445.0;178.0;79;1064;186.0;199;1085
655.0;0.0;535;1254;702.0;902;1358
509.0;225.0;168;838;226.0;455;958
966.0;0.0;56;837;0.0;252;998
354.0;671.0;684;1141;672.0;909;1249
563.0;737.0;652;1049;927.0;873;1100
597.0;198.0;667;1278;1269.0;857;1364
853.0;551.0;647;1039;551.0;881;1171
659.0;759.0;590;859;873.0;804;993
204.0;1491.0;740;1119;1510.0;928;1246
822.0;631.0;575;1053;637.0;821;1185
794.0;237.0;537;866;243.0;725;1030
278.0;831.0;710;1048;845.0;920;1041
651.0;468.0;652;1235;1632.0;983;1332
73.0;482.0;556;948;488.0;800;1086
142.0;644.0;655;950;655.0;884;1069
560.0;238.0;734;1086;244.0;945;1138
403.0;238.0;726;1002;280.0;950;1102
951.0;0.0;889;1221;0.0;1094;1326
95.0;738.0;393;974;816.0;582;1099
890.0;252.0;258;1000;285.0;510;1128
328.0;419.0;422;835;471.0;607;1023
752.0;110.0;784;1207;111.0;1019;1301
717.0;102.0;412;856;121.0;615;1025
723.0;146.0;704;1248;27.0;874;1407
27.0;432.0;445;1009;474.0;519;1123
630.0;88.0;704;1271;232.0;907;1391
345.0;1230.0;629;1012;1300.0;832;1110
185.0;745.0;711;1129;771.0;930;1239
