cmp_segid,cmp_name,cmp_from,cmp_to,direction,length,cls_hcm85,year,period,auto_speed,los_hcm85,transit_speed,transit_sd,transit_cv,atspd_ratio
1,1st St,Market,Harrison,S,0.481558021952,3,1991,PM,1.2,F,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,1993,AM,15.1,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,1993,PM,15.5,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2001,AM,12.5,D,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2001,PM,2.1,F,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2004,AM,11.2,D,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2004,PM,2.6,F,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2006,AM,20.8,B,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2006,PM,4.2,F,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2007,AM,16.2947891131,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2007,PM,12.8210225493,D,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2009,AM,14.2281165029,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2009,PM,13.124766186,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2011,AM,13.7893034901,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2011,PM,18.2315513158,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2013,AM,18.5,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2013,PM,13.2,C,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2015,AM,11.8,D,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2015,PM,4.8,F,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2017,AM,12.8,D,,,,
1,1st St,Market,Harrison,S,0.481558021952,3,2017,PM,4.3,F,,,,
2,2nd St,Brannan,Market,N,0.721663762149,3,2006,AM,10.1,D,,,,
2,2nd St,Brannan,Market,N,0.721663762149,3,2006,PM,9.5,D,,,,
2,2nd St,Brannan,Market,N,0.721663762149,3,2007,AM,10.8301032578,D,,,,
